focalsample_date,individual_id,focal_unit_name,duration,Year,Month,Band,Infant,TakeoverID,Period,Groom.F,Groom.M,Prop.M,Prop.F
9/18/12,32,A,15.37,2012,9,Mid,Y,DIE2013-03-01,Pre,0,0,0,0
9/23/14,32,A,15.47,2014,9,Mid,Y,OBE2015-03-18,Pre,0.52,0,0,0.03
10/1/14,32,A,15.28,2014,10,Mid,Y,OBE2015-03-18,Pre,0,0,0,0
10/13/14,32,A,15.13,2014,10,Mid,Y,OBE2015-03-18,Pre,0,0,0,0
11/30/15,32,A,15.18,2015,11,Mid,Y,POL2016-03-31,Pre,0,0,0,0
9/23/14,35,A,15.68,2014,9,Mid,Y,OBE2015-03-18,Pre,0,0,0,0
3/30/16,35,A,15.08,2016,3,Mid,Y,POL2016-03-31,Pre,0,0,0,0
11/28/15,37,A,15.33,2015,11,Mid,Y,POL2016-03-31,Pre,0,0,0,0
3/30/16,37,A,15.33,2016,3,Mid,Y,POL2016-03-31,Pre,0,0,0,0
9/17/12,38,A,15.2,2012,9,Mid,Y,DIE2013-03-01,Pre,0,0,0,0
10/3/12,38,A,15.23,2012,10,Mid,Y,DIE2013-03-01,Pre,0,0,0,0
10/22/12,38,A,15.37,2012,10,Mid,Y,DIE2013-03-01,Pre,0,0,0,0
11/7/12,38,A,15.42,2012,11,Mid,Y,DIE2013-03-01,Pre,0,0,0,0
11/17/12,38,A,15.2,2012,11,Mid,Y,DIE2013-03-01,Pre,0,0,0,0
12/8/12,38,A,15.55,2012,12,Mid,Y,DIE2013-03-01,Pre,2.85,0,0,0.18
12/21/12,38,A,14.57,2012,12,Mid,Y,DIE2013-03-01,Pre,0.3,0,0,0.02
9/23/14,38,A,15.67,2014,9,Mid,Y,OBE2015-03-18,Pre,0,0,0,0
10/1/14,38,A,15.4,2014,10,Mid,Y,OBE2015-03-18,Pre,0,0,0,0
10/13/14,38,A,15,2014,10,Mid,Y,OBE2015-03-18,Pre,0,0,0,0
9/23/14,39,A,15.73,2014,9,Mid,Y,OBE2015-03-18,Pre,0,0,0,0
10/1/14,39,A,15.27,2014,10,Mid,Y,OBE2015-03-18,Pre,0,0,0,0
11/9/12,71,B,15.35,2012,11,Mid,Y,SOL2013-04-05,Pre,0,0,0,0
11/19/12,71,B,15.12,2012,11,Mid,Y,SOL2013-04-05,Pre,0,0,0,0
12/13/12,71,B,15.2,2012,12,Mid,Y,SOL2013-04-05,Pre,0,0,0,0
12/25/12,71,B,15.35,2012,12,Mid,Y,SOL2013-04-05,Pre,5.6,0,0,0.36
3/14/09,79,B,15.52,2009,3,Mid,Y,LEA2009-07-24,Pre,0.85,9.53,0.61,0.05
3/14/09,79,B,15.72,2009,3,Mid,Y,LEA2009-07-24,Pre,0,0,0,0
3/24/09,79,B,16.6,2009,3,Mid,Y,LEA2009-07-24,Pre,0,0,0,0
4/11/09,79,B,15.73,2009,4,Mid,Y,LEA2009-07-24,Pre,1.45,0,0,0.09
5/17/09,79,B,15.55,2009,5,Mid,Y,LEA2009-07-24,Pre,0,0,0,0
5/26/09,79,B,15.47,2009,5,Mid,Y,LEA2009-07-24,Pre,0,0,0,0
10/13/12,80,B1,15.37,2012,10,Mid,Y,SOL2013-04-05,Pre,2.62,0,0,0.17
11/6/12,80,B1,15.37,2012,11,Mid,Y,SOL2013-04-05,Pre,0,0,0,0
11/22/12,80,B1,15.1,2012,11,Mid,Y,SOL2013-04-05,Pre,8.7,0,0,0.58
12/13/12,80,B1,15.17,2012,12,Mid,Y,SOL2013-04-05,Pre,0.92,0,0,0.06
12/25/12,80,B1,15.38,2012,12,Mid,Y,SOL2013-04-05,Pre,0,0,0,0
10/13/12,89,B1,15.13,2012,10,Mid,Y,SOL2013-04-05,Pre,4.92,0,0,0.32
11/12/12,89,B1,15.18,2012,11,Mid,Y,SOL2013-04-05,Pre,14.15,0,0,0.93
11/19/12,89,B1,15.37,2012,11,Mid,Y,SOL2013-04-05,Pre,1.32,0,0,0.09
12/13/12,89,B1,15.57,2012,12,Mid,Y,SOL2013-04-05,Pre,0,0,0,0
12/25/12,89,B1,15.15,2012,12,Mid,Y,SOL2013-04-05,Pre,3.38,0,0,0.22
3/23/09,99,B,15.35,2009,3,Mid,Y,LEA2009-07-24,Pre,0,0,0,0
6/11/09,99,B,15.73,2009,6,Mid,Y,LEA2009-07-24,Pre,0,0,0,0
7/10/09,99,B,15.38,2009,7,Mid,Y,LEA2009-07-24,Pre,0,0,0,0
10/13/12,111,NA,14.45,2012,10,Other,Y,SOL2013-04-05,Pre,0,0,0,0
11/6/12,111,NA,15.25,2012,11,Other,Y,SOL2013-04-05,Pre,2.63,0,0,0.17
11/19/12,111,NA,15.38,2012,11,Other,Y,SOL2013-04-05,Pre,2.52,0,0,0.16
12/13/12,111,NA,14.87,2012,12,Other,Y,SOL2013-04-05,Pre,12.17,0,0,0.82
10/22/15,111,NA,15.08,2015,10,Other,Y,LUP2016-01-16,Pre,0,0,0,0
10/31/15,111,NA,15.32,2015,10,Other,Y,LUP2016-01-16,Pre,7.67,0,0,0.5
11/3/15,111,NA,15.28,2015,11,Other,Y,LUP2016-01-16,Pre,0,0,0,0
11/20/15,111,NA,19.02,2015,11,Other,Y,LUP2016-01-16,Pre,0,0,0,0
11/6/12,112,B1,14.38,2012,11,Mid,Y,SOL2013-04-05,Pre,0,0,0,0
11/19/12,112,B1,15.4,2012,11,Mid,Y,SOL2013-04-05,Pre,0,0,0,0
12/13/12,112,B1,15.12,2012,12,Mid,Y,SOL2013-04-05,Pre,0.57,0,0,0.04
12/25/12,112,B1,14.63,2012,12,Mid,Y,SOL2013-04-05,Pre,0.73,0,0,0.05
9/9/10,131,C,16.12,2010,9,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
9/21/10,131,C,15.82,2010,9,Small,Y,TEQ2011-03-06,Pre,3.33,0,0,0.21
10/1/10,131,C,15.5,2010,10,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
10/26/10,131,C,16.23,2010,10,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/2/10,131,C,15.42,2010,11,Small,Y,TEQ2011-03-06,Pre,1.5,8.27,0.54,0.1
11/5/10,131,C,15.52,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/15/10,131,C,15.8,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/19/10,131,C,15.47,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/24/10,131,C,15.97,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
12/3/10,131,C,15.33,2010,12,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
4/17/14,134,C4,15.83,2014,4,Small,Y,TAL2014-09-22,Pre,0,0,0,0
6/5/14,134,C4,15,2014,6,Small,Y,TAL2014-09-22,Pre,0,0,0,0
7/1/14,134,C4,18.25,2014,7,Small,Y,TAL2014-09-22,Pre,0,0,0,0
7/13/14,134,C4,15.32,2014,7,Small,Y,TAL2014-09-22,Pre,0,0,0,0
7/30/14,134,C4,15.55,2014,7,Small,Y,TAL2014-09-22,Pre,0,0,0,0
8/16/14,134,C4,15.45,2014,8,Small,Y,TAL2014-09-22,Pre,0,0,0,0
9/8/14,134,C4,15.43,2014,9,Small,Y,TAL2014-09-22,Pre,0,0,0,0
9/9/10,135,C,15.37,2010,9,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
9/21/10,135,C,15.7,2010,9,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
10/1/10,135,C,15.53,2010,10,Small,Y,TEQ2011-03-06,Pre,9.15,0,0,0.59
10/26/10,135,C,15.42,2010,10,Small,Y,TEQ2011-03-06,Pre,6.03,0,0,0.39
10/28/10,135,C,15.57,2010,10,Small,Y,TEQ2011-03-06,Pre,4.68,0,0,0.3
11/2/10,135,C,15.23,2010,11,Small,Y,TEQ2011-03-06,Pre,14.38,0,0,0.94
11/5/10,135,C,15.73,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/16/10,135,C,15.55,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/24/10,135,C,15.7,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
12/3/10,135,C,15.2,2010,12,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
1/28/11,135,C,15.25,2011,1,Small,Y,TEQ2011-03-06,Pre,10.13,0,0,0.66
2/5/11,135,C,15.9,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
2/12/11,135,C,15.17,2011,2,Small,Y,TEQ2011-03-06,Pre,13.35,0,0,0.88
2/12/11,135,C,15.47,2011,2,Small,Y,TEQ2011-03-06,Pre,5.08,0,0,0.33
2/20/11,135,C,15.67,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
2/22/11,135,C,15.53,2011,2,Small,Y,TEQ2011-03-06,Pre,4.1,0,0,0.26
2/22/11,135,C,15.42,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
9/24/11,136,C3,15.52,2011,9,Small,Y,TYS2012-03-22,Pre,0,0,0,0
10/1/11,136,C3,15.38,2011,10,Small,Y,TYS2012-03-22,Pre,0,0.23,0.02,0
10/6/11,136,C3,15.25,2011,10,Small,Y,TYS2012-03-22,Pre,0,0,0,0
10/6/11,136,C3,15.33,2011,10,Small,Y,TYS2012-03-22,Pre,0,0,0,0
10/11/11,136,C3,15.23,2011,10,Small,Y,TYS2012-03-22,Pre,0,2.88,0.19,0
10/11/11,136,C3,15.32,2011,10,Small,Y,TYS2012-03-22,Pre,0,0,0,0
10/15/11,136,C3,15.4,2011,10,Small,Y,TYS2012-03-22,Pre,0,0,0,0
10/28/11,136,C3,15.28,2011,10,Small,Y,TYS2012-03-22,Pre,0,0,0,0
10/28/11,136,C3,15.27,2011,10,Small,Y,TYS2012-03-22,Pre,0,0,0,0
11/9/11,136,C3,15.27,2011,11,Small,Y,TYS2012-03-22,Pre,0,0,0,0
11/15/11,136,C3,15.13,2011,11,Small,Y,TYS2012-03-22,Pre,0,0,0,0
11/15/11,136,C3,15.27,2011,11,Small,Y,TYS2012-03-22,Pre,0,0,0,0
11/22/11,136,C3,15.3,2011,11,Small,Y,TYS2012-03-22,Pre,5.32,0,0,0.35
11/22/11,136,C3,15.28,2011,11,Small,Y,TYS2012-03-22,Pre,0,0,0,0
11/26/11,136,C3,15.23,2011,11,Small,Y,TYS2012-03-22,Pre,2.28,6.27,0.41,0.15
11/29/11,136,C3,15.23,2011,11,Small,Y,TYS2012-03-22,Pre,0,0,0,0
11/29/11,136,C3,15.25,2011,11,Small,Y,TYS2012-03-22,Pre,0,0,0,0
12/8/11,136,C3,15.15,2011,12,Small,Y,TYS2012-03-22,Pre,0.68,0,0,0.05
12/12/11,136,C3,15.45,2011,12,Small,Y,TYS2012-03-22,Pre,0,2.25,0.15,0
12/23/11,136,C3,15.27,2011,12,Small,Y,TYS2012-03-22,Pre,0,4.45,0.29,0
12/23/11,136,C3,15.25,2011,12,Small,Y,TYS2012-03-22,Pre,0,1.5,0.1,0
1/16/12,136,C3,15.18,2012,1,Small,Y,TYS2012-03-22,Pre,0,0,0,0
1/16/12,136,C3,15.18,2012,1,Small,Y,TYS2012-03-22,Pre,0,0,0,0
1/30/12,136,C3,15.47,2012,1,Small,Y,TYS2012-03-22,Pre,0,0,0,0
1/31/12,136,C3,15.47,2012,1,Small,Y,TYS2012-03-22,Pre,0,0,0,0
1/31/12,136,C3,15.22,2012,1,Small,Y,TYS2012-03-22,Pre,0,1.88,0.12,0
1/31/12,136,C3,15.22,2012,1,Small,Y,TYS2012-03-22,Pre,0,1.88,0.12,0
1/31/12,136,C3,15.47,2012,1,Small,Y,TYS2012-03-22,Pre,0,0,0,0
2/9/12,136,C3,15.12,2012,2,Small,Y,TYS2012-03-22,Pre,0,9.55,0.63,0
2/9/12,136,C3,15.12,2012,2,Small,Y,TYS2012-03-22,Pre,0,9.55,0.63,0
2/15/12,136,C3,15.13,2012,2,Small,Y,TYS2012-03-22,Pre,0,0.87,0.06,0
2/20/12,136,C3,15.62,2012,2,Small,Y,TYS2012-03-22,Pre,0,3.75,0.24,0
2/25/12,136,C3,15.63,2012,2,Small,Y,TYS2012-03-22,Pre,0,0,0,0
3/1/12,136,C3,15.33,2012,3,Small,Y,TYS2012-03-22,Pre,0,0,0,0
3/5/12,136,C3,15.48,2012,3,Small,Y,TYS2012-03-22,Pre,0,0,0,0
3/5/12,136,C3,15.48,2012,3,Small,Y,TYS2012-03-22,Pre,0,0,0,0
3/16/12,136,C3,15.13,2012,3,Small,Y,TYS2012-03-22,Pre,0,0.13,0.01,0
3/11/13,136,C3,15.52,2013,3,Small,Y,IMP2013-08-31,Pre,0,0,0,0
5/14/13,136,C3,15.55,2013,5,Small,Y,IMP2013-08-31,Pre,0,6.28,0.4,0
5/18/13,136,C3,15.2,2013,5,Small,Y,IMP2013-08-31,Pre,0,0,0,0
6/6/13,136,C3,15.92,2013,6,Small,Y,IMP2013-08-31,Pre,0,0,0,0
6/8/13,136,C3,15.32,2013,6,Small,Y,IMP2013-08-31,Pre,0,0,0,0
6/19/13,136,C3,15.58,2013,6,Small,Y,IMP2013-08-31,Pre,0,0,0,0
7/2/13,136,C3,15.5,2013,7,Small,Y,IMP2013-08-31,Pre,0,0,0,0
7/24/13,136,C3,15.4,2013,7,Small,Y,IMP2013-08-31,Pre,0,0,0,0
8/16/13,136,C3,15.53,2013,8,Small,Y,IMP2013-08-31,Pre,1.88,0,0,0.12
8/22/13,136,C3,15.4,2013,8,Small,Y,IMP2013-08-31,Pre,0,6.03,0.39,0
9/9/10,142,C1,15.37,2010,9,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
10/1/10,142,C1,15.28,2010,10,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
10/26/10,142,C1,15.58,2010,10,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/2/10,142,C1,15.48,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/5/10,142,C1,16.1,2010,11,Small,Y,TEQ2011-03-06,Pre,0,4.82,0.3,0
11/15/10,142,C1,15.75,2010,11,Small,Y,TEQ2011-03-06,Pre,0.93,2.7,0.17,0.06
11/20/10,142,C1,15.73,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/24/10,142,C1,15.4,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
12/3/10,142,C1,15.27,2010,12,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
12/18/18,146,C5,12.98,2018,12,Small,Y,LEY2019-06-12,Pre,0,0,0,0
12/20/18,146,C5,10.45,2018,12,Small,Y,LEY2019-06-12,Pre,0,0,0,0
12/25/18,146,C5,11.3,2018,12,Small,Y,LEY2019-06-12,Pre,0,0,0,0
1/1/19,146,C5,14.53,2019,1,Small,Y,LEY2019-06-12,Pre,0,0,0,0
1/28/19,146,C5,12,2019,1,Small,Y,LEY2019-06-12,Pre,0,0,0,0
2/8/19,146,C5,14.88,2019,2,Small,Y,LEY2019-06-12,Pre,2.6,0,0,0.17
2/11/19,146,C5,14.95,2019,2,Small,Y,LEY2019-06-12,Pre,0,0,0,0
3/21/19,146,C5,14.08,2019,3,Small,Y,LEY2019-06-12,Pre,0,0,0,0
3/26/19,146,C5,12.25,2019,3,Small,Y,LEY2019-06-12,Pre,0,0,0,0
3/28/19,146,C5,13.22,2019,3,Small,Y,LEY2019-06-12,Pre,0,0,0,0
3/30/19,146,C5,14.88,2019,3,Small,Y,LEY2019-06-12,Pre,0,0,0,0
4/9/19,146,C5,11.82,2019,4,Small,Y,LEY2019-06-12,Pre,2.7,0,0,0.23
4/16/19,146,C5,14.07,2019,4,Small,Y,LEY2019-06-12,Pre,0,0,0,0
4/19/19,146,C5,13.58,2019,4,Small,Y,LEY2019-06-12,Pre,0,0,0,0
4/22/19,146,C5,14.68,2019,4,Small,Y,LEY2019-06-12,Pre,0,0,0,0
4/24/19,146,C5,14.87,2019,4,Small,Y,LEY2019-06-12,Pre,0,0,0,0
4/25/19,146,C5,13.92,2019,4,Small,Y,LEY2019-06-12,Pre,0,0,0,0
6/7/19,146,C5,14.38,2019,6,Small,Y,LEY2019-06-12,Pre,0,0,0,0
5/14/13,149,C,15.3,2013,5,Small,Y,IMP2013-08-31,Pre,0,0,0,0
5/18/13,149,C,15.62,2013,5,Small,Y,IMP2013-08-31,Pre,0,0,0,0
6/8/13,149,C,15.3,2013,6,Small,Y,IMP2013-08-31,Pre,0,0,0,0
6/19/13,149,C,15.17,2013,6,Small,Y,IMP2013-08-31,Pre,0.12,1.25,0.08,0.01
7/2/13,149,C,15.5,2013,7,Small,Y,IMP2013-08-31,Pre,0,3.9,0.25,0
7/24/13,149,C,15.37,2013,7,Small,Y,IMP2013-08-31,Pre,2,0,0,0.13
8/16/13,149,C,15.28,2013,8,Small,Y,IMP2013-08-31,Pre,0,0,0,0
8/22/13,149,C,15.85,2013,8,Small,Y,IMP2013-08-31,Pre,0,8.65,0.55,0
9/9/10,159,C1,15.5,2010,9,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
9/21/10,159,C1,15.77,2010,9,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
10/1/10,159,C1,15.62,2010,10,Small,Y,TEQ2011-03-06,Pre,9.13,0,0,0.58
10/26/10,159,C1,15.93,2010,10,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/2/10,159,C1,15.47,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/5/10,159,C1,16.15,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/15/10,159,C1,15.8,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/19/10,159,C1,15.65,2010,11,Small,Y,TEQ2011-03-06,Pre,0.43,0,0,0.03
11/24/10,159,C1,15.45,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
12/3/10,159,C1,15.33,2010,12,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
1/28/11,159,C1,15.43,2011,1,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
2/5/11,159,C1,15.27,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
2/14/11,159,C1,15.42,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
2/19/11,159,C1,15.4,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
2/22/11,159,C1,15.3,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
2/24/11,159,C1,15.38,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
2/25/11,159,C1,15.43,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
2/25/11,159,C1,15.43,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
2/25/11,159,C1,15.53,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
2/26/11,159,C1,15.5,2011,2,Small,Y,TEQ2011-03-06,Pre,1.75,0,0,0.11
2/28/11,159,C1,15.47,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
2/28/11,159,C1,15.7,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
4/10/14,159,C4,15.27,2014,4,Small,Y,TAL2014-09-22,Pre,0,0,0,0
4/17/14,159,C4,15.7,2014,4,Small,Y,TAL2014-09-22,Pre,0,0,0,0
6/5/14,159,C4,15.83,2014,6,Small,Y,TAL2014-09-22,Pre,0,0,0,0
7/1/14,159,C4,14.93,2014,7,Small,Y,TAL2014-09-22,Pre,0,0,0,0
7/13/14,159,C4,15.45,2014,7,Small,Y,TAL2014-09-22,Pre,0,0,0,0
7/30/14,159,C4,15.32,2014,7,Small,Y,TAL2014-09-22,Pre,0,0,0,0
8/16/14,159,C4,15.38,2014,8,Small,Y,TAL2014-09-22,Pre,0,0,0,0
9/8/14,159,C4,15.22,2014,9,Small,Y,TAL2014-09-22,Pre,0,0,0,0
7/10/09,161,C,15.43,2009,7,Small,Y,HOO2009-11-07,Pre,0,0,0,0
11/2/09,161,C,15.23,2009,11,Small,Y,HOO2009-11-07,Pre,0,14.68,0.96,0
9/9/10,163,C1,15.8,2010,9,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
10/1/10,163,C1,15.38,2010,10,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
10/26/10,163,C1,16.03,2010,10,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/2/10,163,C1,15.53,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/2/10,163,C1,15.18,2010,11,Small,Y,TEQ2011-03-06,Pre,13.82,0,0,0.91
11/5/10,163,C1,15.35,2010,11,Small,Y,TEQ2011-03-06,Pre,0.53,0,0,0.03
11/15/10,163,C1,15.37,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/20/10,163,C1,15.63,2010,11,Small,Y,TEQ2011-03-06,Pre,1.32,0,0,0.08
11/24/10,163,C1,15.55,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
12/4/10,163,C1,15.22,2010,12,Small,Y,TEQ2011-03-06,Pre,6.75,0,0,0.44
10/26/10,165,C,17.93,2010,10,Small,Y,TEQ2011-03-06,Pre,5.08,0,0,0.28
10/28/10,165,C,15.43,2010,10,Small,Y,TEQ2011-03-06,Pre,10.28,0,0,0.67
11/2/10,165,C,16.3,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/5/10,165,C,15.42,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/15/10,165,C,15.42,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
11/24/10,165,C,15.23,2010,11,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
12/3/10,165,C,15.23,2010,12,Small,Y,TEQ2011-03-06,Pre,7.93,0,0,0.52
1/28/11,165,C,15.42,2011,1,Small,Y,TEQ2011-03-06,Pre,1.9,0,0,0.12
2/5/11,165,C,15.83,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
2/12/11,165,C,15.45,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
2/13/11,165,C,15.58,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
2/20/11,165,C,15.8,2011,2,Small,Y,TEQ2011-03-06,Pre,2.17,0,0,0.14
2/22/11,165,C,15.18,2011,2,Small,Y,TEQ2011-03-06,Pre,10.57,0,0,0.7
2/22/11,165,C,15.42,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
2/26/11,165,C,15.28,2011,2,Small,Y,TEQ2011-03-06,Pre,1.87,0,0,0.12
2/28/11,165,C,15.32,2011,2,Small,Y,TEQ2011-03-06,Pre,0,0,0,0
10/16/15,280,G,15.27,2015,10,Mid,Y,YOS2015-12-27,Pre,0,0,0,0
10/20/15,280,G,15.12,2015,10,Mid,Y,YOS2015-12-27,Pre,0,0,0,0
11/27/15,280,G,15.22,2015,11,Mid,Y,YOS2015-12-27,Pre,0,0,0,0
12/2/15,280,G,15.18,2015,12,Mid,Y,YOS2015-12-27,Pre,0,0,0,0
10/1/10,379,J,15.72,2010,10,Small,Y,MHE2011-03-24,Pre,0,0,0,0
10/1/10,379,J,15.52,2010,10,Small,Y,MHE2011-03-24,Pre,1.73,12.75,0.82,0.11
10/26/10,379,J,15.98,2010,10,Small,Y,MHE2011-03-24,Pre,0,0,0,0
11/2/10,379,J,17.87,2010,11,Small,Y,MHE2011-03-24,Pre,0,0,0,0
11/5/10,379,J,15.62,2010,11,Small,Y,MHE2011-03-24,Pre,0,0,0,0
11/15/10,379,J,15.57,2010,11,Small,Y,MHE2011-03-24,Pre,0,3.2,0.21,0
3/11/09,391,K,15.6,2009,3,Small,Y,HOU2009-04-04,Pre,0.97,0,0,0.06
3/25/09,391,K,15.58,2009,3,Small,Y,HOU2009-04-04,Pre,0,0,0,0
4/1/09,391,K,15.35,2009,4,Small,Y,HOU2009-04-04,Pre,0,0,0,0
2/19/11,394,K,15.7,2011,2,Small,Y,HOO2011-08-17,Pre,0,0,0,0
2/19/11,394,K,7,2011,2,Small,Y,HOO2011-08-17,Pre,0,0,0,0
2/21/11,394,K,15.33,2011,2,Small,Y,HOO2011-08-17,Pre,0,8.57,0.56,0
2/23/11,394,K,15.67,2011,2,Small,Y,HOO2011-08-17,Pre,0,0,0,0
2/28/11,394,K,15.47,2011,2,Small,Y,HOO2011-08-17,Pre,0,2.38,0.15,0
2/28/11,394,K,15.48,2011,2,Small,Y,HOO2011-08-17,Pre,0,0,0,0
2/28/11,394,K,15.48,2011,2,Small,Y,HOO2011-08-17,Pre,0,0,0,0
3/3/11,394,K,15.75,2011,3,Small,Y,HOO2011-08-17,Pre,0,0,0,0
3/9/11,394,K,15.28,2011,3,Small,Y,HOO2011-08-17,Pre,0,0,0,0
3/23/11,394,K,15.33,2011,3,Small,Y,HOO2011-08-17,Pre,0.12,0,0,0.01
4/12/11,394,K,15.58,2011,4,Small,Y,HOO2011-08-17,Pre,6.82,0,0,0.44
4/20/11,394,K,15.17,2011,4,Small,Y,HOO2011-08-17,Pre,0,5.62,0.37,0
4/26/11,394,K,15.22,2011,4,Small,Y,HOO2011-08-17,Pre,8.12,0,0,0.53
6/7/11,394,K,15.55,2011,6,Small,Y,HOO2011-08-17,Pre,0,0,0,0
6/7/11,394,K,15.17,2011,6,Small,Y,HOO2011-08-17,Pre,0,10.75,0.71,0
6/7/11,394,K,15.32,2011,6,Small,Y,HOO2011-08-17,Pre,0,0,0,0
6/15/11,394,K,15.42,2011,6,Small,Y,HOO2011-08-17,Pre,0,2.12,0.14,0
6/15/11,394,K,15.53,2011,6,Small,Y,HOO2011-08-17,Pre,0,0,0,0
6/22/11,394,K,15.63,2011,6,Small,Y,HOO2011-08-17,Pre,0,0,0,0
7/5/11,394,K,15.48,2011,7,Small,Y,HOO2011-08-17,Pre,0,0,0,0
7/16/11,394,K,15.58,2011,7,Small,Y,HOO2011-08-17,Pre,0,1.93,0.12,0
7/16/11,394,K,15.45,2011,7,Small,Y,HOO2011-08-17,Pre,0,0,0,0
8/15/11,394,K,15.68,2011,8,Small,Y,HOO2011-08-17,Pre,0,0,0,0
10/18/13,394,K,15.38,2013,10,Small,Y,LEN2014-03-24,Pre,0,0,0,0
11/1/13,394,K,15.33,2013,11,Small,Y,LEN2014-03-24,Pre,0,7.3,0.48,0
11/8/13,394,K,15.18,2013,11,Small,Y,LEN2014-03-24,Pre,0,4.18,0.28,0
2/19/11,400,K,15.45,2011,2,Small,Y,HOO2011-08-17,Pre,6.85,7.05,0.46,0.44
2/22/11,400,K,15.75,2011,2,Small,Y,HOO2011-08-17,Pre,0,0,0,0
2/28/11,400,K,15.5,2011,2,Small,Y,HOO2011-08-17,Pre,0,0,0,0
2/28/11,400,K,15.6,2011,2,Small,Y,HOO2011-08-17,Pre,0,0,0,0
2/28/11,400,K,15.32,2011,2,Small,Y,HOO2011-08-17,Pre,0,0,0,0
3/3/11,400,K,15.42,2011,3,Small,Y,HOO2011-08-17,Pre,3.82,0.15,0.01,0.25
3/9/11,400,K,15.27,2011,3,Small,Y,HOO2011-08-17,Pre,13.78,0,0,0.9
3/23/11,400,K,15.43,2011,3,Small,Y,HOO2011-08-17,Pre,0,0,0,0
4/11/11,400,K,15.38,2011,4,Small,Y,HOO2011-08-17,Pre,7.17,5.33,0.35,0.47
4/12/11,400,K,15.67,2011,4,Small,Y,HOO2011-08-17,Pre,0,0,0,0
4/20/11,400,K,15.33,2011,4,Small,Y,HOO2011-08-17,Pre,0,0,0,0
4/26/11,400,K,15.22,2011,4,Small,Y,HOO2011-08-17,Pre,8.9,0,0,0.58
11/1/13,415,K,15.78,2013,11,Small,Y,LEN2014-03-24,Pre,0,0,0,0
